Title,Organization_name,Type,Traded as,ISIN,Industry,Predecessors,Headquarters,Area served,Key people,Products,Revenue,Operating income,Net income,Total assets,Total equity,Number of employees,Parent,Subsidiaries,Website
Ali Adnan Kadhim,Ali Adnan,,,,,,,,,,,,,,,,,,
Tsinghua University,Tsinghua University,Public,,,,,,,,,,,,,,,,,www.tsinghua.edu.cn
Claude Bernard University Lyon 1,Claude Bernard University,Public,,,,,,,,,,,,,,,,,www.univ-lyon1.fr
Ronen Shapira,Ronen Shapira,,,,,,,,,,,,,,,,,,
Allied Corporation,Allied Corp.,,,,['Chemicals'],,"Morristown, New Jersey",Worldwide,,"Chemicals, plastics, catalysts, Hydrocarbon exploration and production",,,,,,,,,
PARC (company),PARC,,,,['R&D'],,"Palo Alto, California, U.S.",,,,,,,,,,Xerox,,www.parc.com
RWTH Aachen University,RWTH Aachen University,Public,,,,,,,,,,,,,,,,,rwth-aachen.de
Terex,Terex Corporation,Public,NYSE : TEX S&P 400 Component,US8807791038,['Manufacturing'],,"Westport, Connecticut, United States",Worldwide,"['John L. Garrison', ' Jr. (President and CEO)']","Aerial work platforms, Construction equipment, Cranes, Material handling & port solutions[buzzword], Materials processing",US$ 4.363 billion (2017),US$174 million (2017),US$129 million (2017),US$3.463 billion (2017),US$1.222 billion (2017),"10,700 (2017)",,,www.terex.com
Institut Mines-Télécom,IMT - Institut Mines-Télécom,"Public, Grand établissement EPSCP",,,,,,,,,,,,,,,,,http://www.imt.fr/en/
China University of Petroleum,China University of Petroleum - Beijing,National Public,,,,,,,,,,,,,,,,,http://www.upc.edu.cn/
Peter MacCallum Cancer Centre,Peter MacCallum Cancer Centre,,,,,,,,['Nicole Delaney et al'],,,,,,,,,,www.petermac.org
Toray Industries,"Toray Industries, Inc.",Public (K.K),TYO : 3402 TOPIX 100 Component Nikkei 225 Component,JP3621000003,['Chemicals Textiles'],,"5F, Nihonbashi Mitsui Tower 2-1-1, Nihonbashi-Muromachi, Chuo-ku, Tokyo 103-8666, Japan",Worldwide,"['Sadayuki Sakakibara', ' chairman Akihiro Nikkaku', ' president']","Fibers, Textiles, Plastics, Chemicals, IT-related materials, Carbon fiber composite materials, Water treatment membranes, Pharmaceuticals, Medical products","$ 17.86 billion (FY 2014) (¥ 1,837 billion) (FY 2014)",,$ 579 million (FY 2014) (¥ 59.6 billion) (FY 2014),,,"45,881 (consolidated, as of March 31, 2014)",,,Official website
Woods Hole Oceanographic Institution,Woods Hole Oceanographic Institution,,,,,,,,,,,,,,,,,,WHOI.edu
Wuhan University,Wuhan University,National research university,,,,,,,,,,,,,,,,,www.whu.edu.cn
Ghent University,Ghent University,Public,,,,,,,,,,,,,,,,,www.ugent.be
Dave Dickenson,Dave Dickenson,,,,,,,,,,,,,,,,,,
Veritas Technologies,Veritas Technologies LLC,Private,,,['Information Management'],,"Santa Clara, California, U.S.",,"['Greg Hughes', ' CEO']",,,,,,,"7,000(2020)",,,www.veritas.com
Panasonic,Panasonic Corporation,Public KK,"TYO: 6752, NAG: 6752, OTC Pink: PCRFY, TOPIX Core 30 Component",JP3866800000,"['Electronics', ' Semiconductors', ' Home appliances']",,"Kadoma, Osaka, Japan 34°44′38′′N 135°34′12′′E ﻿ / ﻿ 34.7438°N 135.5701°E ﻿ / 34.7438; 135.5701 Coordinates : 34°44′38′′N 135°34′12′′E ﻿ / ﻿ 34.7438°N 135.5701°E ﻿ / 34.7438; 135.5701",Worldwide,"['Shusaku Nagae (Chairman)', ' Masayuki Matsushita [ja] (Vice chairman)', ' Kazuhiro Tsuga (President) Laurent Abadie (COO) Yoshiyuki Miyabe (CTO)']","television, LCD projector, digital camera, DVD player, home appliance, desktop computer, laptop, video game console, computer hardware, software",¥ 8.002 trillion (2019) [* 1],¥411.5 billion (2019) [* 1],¥284.1 billion (2019) [* 1],¥6.013 trillion (2019) [* 1],¥1.913 trillion (2019) [* 1],"273,858 (2019)",,"['Panasonic Avionics Corporation', ' Panasonic Electric Works', ' Universal Lighting Technologies', ' Kawakita Denki Kigyosha', ' Sanyo Electric Co.', ' Ltd.', ' Anchor Electricals']",panasonic.com
Dartmouth College,Dartmouth College,Private research university,,,,,,,,,,,,,,,,,dartmouth.edu
Queensland University of Technology,Queensland University of Technology,Public research university,,,,,,,,,,,,,,,,,www.qut.edu.au
Intel,Intel Corporation,Public,"NASDAQ: INTC, NASDAQ-100 Component, DJIA Component, S&P 100 Component, S&P 500 Component",US4581401001,['Semiconductors'],,"Santa Clara, California, U.S.",Worldwide,['Gordon Moore (Chairman Emeritus) Dr. Omar Ishrak (Chairman) Bob Swan (CEO) Ajay Bhatt (Chief Client Platform Architect)'],Central processing units Microprocessors Integrated graphics processing units (iGPU) Systems-on-chip (SoCs) Motherboard chipsets Network interface controllers Modems Mobile phones Solid state drives Wi-Fi and Bluetooth Chipsets Flash memory Vehicle automation sensors,US$ 70.8 billion (2018),US$23.3 billion (2018),US$21.0 billion (2018),US$127.9 billion (2018),US$74.5 billion (2018),"110,200 (2019)",,"['Mobileye', ' McAfee (49%)', ' Here (15%)']",intel.com
Tokuyama Corporation,Tokuyama Corporation,Public (K.K),TYO : 4043 Nikkei 225 Component,JP3625000009,['Chemicals'],,"Kasumigaseki Common Gate West Tower, 2-1, Kasumigaseki 3-chome, Chiyoda-ku, Tokyo 100-8983, Japan",,['Kazuhisa Kogo (President)'],"Basic chemicals, Electronic materials, IC chemicals, Fine chemicals, Cement",US$ 2.78 billion (FY 2013) (JPY 287.33 billion) (FY 2013),,US$ 99.20 million (FY 2013) (JPY 10.21 billion) (FY 2013),,,"5,756 (consolidated, as of March 31, 2014)",,,Official website
Oregon Health & Science University,Oregon Health & Science University,Public,,,,,,,,,,,,,,,,,www.ohsu.edu
John Deere,Deeress & Company,Public,NYSE : DE S&P 500 Component,US2441991054,['Heavy equipment'],,"Moline, Illinois, U.S.",Worldwide,['Samuel R. Allen (Chairman) John C. May (CEO and President)'],"Agriculture, construction, forestry, consumer & commercial equipment, diesel engines, automobiles",US$ 37.357 billion (2018),US$4.053 billion (2017),US$2.159 billion (2017),US$65.786 billion (2017),US$9.557 billion (2017),"74,412 (2018)",,,deere.com
"University of Maryland, College Park","University of Maryland, College Park",Flagship public Land-grant Sea-grant Space-grant,,,,,,,,,,,,,,,,,www.umd.edu
MBDA Deutschland GmbH,MBDA Deutschland GmbH,GmbH,,,['Arms industry'],,"Schrobenhausen, Deutschland",,"['Thomas Gottschild', ' Managing Director Antoine Bouvier', ' chairman of the supervisory board']",,,,,,,"1,300 (2017)",MBDA,['Bayern-Chemie TDW'],www.mbda-systems.com
University of Barcelona,University of Barcelona,Public,,,,,,,,,,,,,,,,,www.ub.edu
Cree Inc.,"Cree, Inc.",Public,"NASDAQ: CREE, S&P 400 component",,['Electronics'],,"Research Triangle Park, North Carolina, United States",,,Light-emitting diodes,US$ 1.65 billion,US$ 124 million (Fiscal Year 2014),,,,"6,387",,,cree.com
North Carolina State University,North Carolina State University,Public University Land-grant Sea-grant Space-grant,,,,,,,,,,,,,,,,,www.ncsu.edu
Motorola Solutions,"Motorola Solutions, Inc.",Public,NYSE : MSI S&P 500 Component,US6200763075,['Telecommunications equipment'],,"Chicago, Illinois, U.S.",,['Greg Brown (Chairman and CEO)'],"Two-way radios, radio systems, managed services and smart public safety applications",US$ 7.34 billion (2018),US$1.26 billion (2018),US$966 million (2018),US$9.41 billion (2018),,"17,000 (2019)",,['Airwave Solutions Avigilon'],www.motorolasolutions.com
Mitsubishi Heavy Industries,"Mitsubishi Heavy Industries, Ltd.",Public KK,TYO : 7011,JP3900000005,['Engineering Electrical equipment Electronics Defense'],,"Marunouchi, Tokyo, Japan",Global,"['Shunichi Miyanaga (Chairman) Seiji Izumisawa (CEO', ' CSO and President)']",,¥ 4078.3 billion (2018),¥311.6 billion (2018),¥186.7 billion (2018),¥5142.7 billion (2018),¥1748.8 billion (2018),"82,728",,"['Mitsubishi Aircraft Corporation', ' Mitsubishi Caterpillar Forklifts', ' Mitsubishi FBR Systems', ' Mitsubishi Hitachi Power Systems']",www.mhi.com
Chrysler,FCA US LLC,"Subsidiary, limited liability company",,,['Automotive'],Maxwell Motor Company United States Motor Company,"1000 Chrysler Drive, Auburn Hills, Metro Detroit, Michigan, United States",Worldwide,"['John Elkann (Chairman)', ' Michael Manley (CEO)']","Automobiles, Commercial vehicles, Automotive parts",,,,,,"c. 93,000 (2018)",Fiat Chrysler Automobiles,['FCA Canada'],fcagroup.com
Huawei,"Huawei Technologies Co., Ltd.",Limited Company,,,"['Mobile phones', ' Consumer electronics', ' Telecom equipment', ' Networking equipment']",,"Shenzhen, China",Worldwide,['Ren Zhengfei (Founder & CEO) Liang Hua (chairman) Meng Wanzhou (CFO)'],Mobile and fixed broadband networks consultancy and managed services multimedia technology smartphones tablet computers dongles Smart TV HarmonyOS,CN¥ 850 billion US$121.72 billion (2019),CN¥73.287 billion US$10.689 billion (2018),CN¥59.345 billion US$8.656 billion (2018),CN¥665.792 billion US$97.109 billion (2018),CN¥233.065 billion US$33.994 billion (2018),"194,000 (2019)",Huawei Investment & Holding,['Amartus Caliopa Chinasoft International FutureWei Technologies HexaTier HiSilicon iSoftStone'],www.huawei.com
Saab AB,Saab AB,Publicly traded Aktiebolag,Nasdaq Stockholm : SAAB B,SE0000112385,['Aerospace and Defence'],,"Stockholm, Sweden",Worldwide,['Marcus Wallenberg (Chairman) Micael Johansson (President & CEO)'],Air Traffic Control systems Fighter aircraft Military aircraft Military systems Radars,33.156 billion kr (2018),2.266 billion kr (2018),1.366 billion kr (2018),56.128 billion kr (2018),19.633 billion kr (2018),"17,096 (2018)",,"['Saab Aircraft Leasing', ' Sensis Corporation']",saabgroup.com
École normale supérieure de Lyon,École normale supérieure de Lyon,Grande école (École normale supérieure),,,,,,,,,,,,,,,,,www.ens-lyon.eu
China University of Mining and Technology,China University of Mining and Technology shoes( CUMT),Public,,,,,,,,,,,,,,,,,www.cumt.edu.cn
Orano Cycle,Orano Cycle,Public,,,['Nuclear'],,"Paris, France",France,['Jean-Jacques Dreher (CEO)'],,,,,,,,Areva,,Areva.com
Saint Louis University,Saint Louis University,Private research university,,,,,,,,,,,,,,,,,www.slu.edu
University of Limerick,University of Limerick,Public,,,,,,,,,,,,,,,,,www.ul.ie
United Technologies,United Technologies Corporation,Public,NYSE : UTX DJIA Component S&P 100 Component S&P 500 Component,US9130171096,['Conglomerate'],,"Farmington, Connecticut, United States",Worldwide,"['Gregory J. Hayes', ' (President', ' Chairman and CEO)']",,US$ 66.501 billion (2018),US$8.553 billion (2018),US$5.269 billion (2018),US$134.211 billion (2018),US$38.446 billion (2018),"240,000 (2018)",,,www.utc.com
Sandia National Laboratories,Sandia National Laboratories,,,,,,,,,,,,,,,,,,www.sandia.gov
Jilin University,Jilin University,"National, Public",,,,,,,,,,,,,,,,,www.jlu.edu.cn
Orano Cycle,Orano Cycle,Public,,,['Nuclear'],,"Paris, France",France,['Jean-Jacques Dreher (CEO)'],,,,,,,,Areva,,Areva.com
Candela Corp,Candela Laser Corporation,Private,,,['Aesthetic Device'],,"Wayland, Massachusetts, United States",,"['Geoffrey Crouse', ' President & CEO Dr. James C. Hsia', ' Chief Technical Officer Jay D. Caplan', ' Chief Operating Officer Catherine Kniker', ' Senior Vice President', ' Corporate Development Dennis S. Herman', ' Senior Vice President', ' North American Sales Robert Wilber', ' Senior Vice President', ' International Sales George Abe', ' Board Member']","medical lasers for hair removal, tattoo removal, treatment of scars, pigmented lesions, acne vulgaris, acne scars, sebaceous hyperplasia, wrinkles and other aesthetic conditions",,,,,,406,,,www.syneron-candela.com
Swisscom,Swisscom AG,Aktiengesellschaft,SIX : SCMN,CH0008742519,"['telecommunications industry', ' Mobile phone industry', ' internet industry']",,Switzerland,,,,CHF 11.714 billion (2018),CHF 2.069 billion (2018),CHF 1.521 billion (2018),CHF 22.586 billion (2018),CHF 8.208 billion (2018),"19,845 (FTE, end 2018)",,,http://www.swisscom.ch
GE Healthcare,GE Healthcare,Subsidiary,,,['Health care Pharmaceuticals Electronics Manufacturing'],,"Chicago, Illinois, United States",Worldwide,"['Kieran Murphy', ' CEO']","PET, X-ray, CT, MRI, ECG and Ultrasound machines Bone densitometry Patient monitoring Incubators and respiratory care systems",US$ 18.3 billion (2016),US$3.2 billion (2016),,,,"Approximately 54,000",General Electric,,www.gehealthcare.com
Moog Inc.,Moog Incorporated,Public,NYSE : MOG.A (Class A) NYSE : MOG.B (Class B) S&P 600 Component (MOG.A),,"['Aerospace', ' Defense', ' Industrial Automation', ' and Motion Control']",,"Elma, New York",,"['John Scannell', ' Chairman & CEO Don Fishback', ' CFO']",Hydraulic and Electronic Control Systems,US$ 2.497B,,,,,"10,976",,,www.moog.com
Stevens Institute of Technology,Stevens Institute of Technology,Private,,,,,,,,,,,,,,,,,www.stevens.edu
Chang'an University,Chang'an University,Public University,,,,,,,,,,,,,,,,,http://en.chd.edu.cn/
Huaqiao University,Huaqiao University,Public,,,,,,,,,,,,,,,,,www.hqu.edu.cn/
Shanghai Jiao Tong University,Shanghai Jiao Tong University,Public,,,,,,,,,,,,,,,,,www.sjtu.edu.cn
Drexel University,Drexel University,Private Nonprofit Research Coeducational,,,,,,,,,,,,,,,,,Drexel.edu
Medtronic,Medtronic plc,Public limited company,"NYSE: MDT, S&P 100 component, S&P 500 component",IE00BTN1Y115,['Medical equipment'],,"(Legal headquarters), 20 Lower Hatch Street, D02 XH02, Dublin, Ireland , (Operational headquarters), 710 Medtronic Parkway. Minneapolis, Minnesota",,"['Omar Ishrak (Chairman & CEO)', ' Karen L. Parkhill (CFO)']",Medical devices,(FY 28 April 2017),"US$ 5.33 billion, (FY 28 April 2017)","US$ 4.02 billion, (FY 28 April 2017)","US$ 99.82 billion, (FY 28 April 2017)","US$ 50.29 billion, (FY 28 April 2017)","98,003 (2020) [ citation needed ]",,,medtronic.com
Corning Inc.,Corning Incorporated,Public,NYSE : GLW S&P 500 Component,US2193501051,['Technology Glass & Ceramic Materials'],,"Corning, New York, United States",Worldwide,['Wendell P. Weeks (Chairman and CEO) Lawrence D. McRae (Vice Chairman)'],"Specialty glass Ceramics Optical fiber Cable, hardware & equipment Emissions control technology LCD glass Life sciences products",US $11.4 billion (2018),US $1.391 billion (2016),US $3.695 billion (2016),US $27.899 billion (2016),US $17.96 billion (2016),"51,500",,,www.Corning.com
Kyoto University,Kyoto University,Public (National),,,,,,,,,,,,,,,,,www.kyoto-u.ac.jp
International Game Technology,International Game Technology PLC,Public,NYSE : IGT Russell 1000 Component,GB00BVG7F061,['Gambling'],,"London, England (Headquarters) Las Vegas, Nevada (Operating offices) Reno, Nevada (Production location) Providence, Rhode Island (Operating offices) Rome, Italy (Operating offices)",,['Marco Sala (CEO) Phil Satre (Chairman)'],"Slot machines, lotteries, gaming technology",US$4.69 billion (2015),US$539 million (2015),(US$56 million) (2015),US$15.11 billion (2015),US$3.36 billion (2015),"12,000 (2015)",,,igt.com
Dana–Farber Cancer Institute,,,,,,,,,,,,,,,,,,,www.dana-farber.org
Xidian University,Xidian University,Public,,,,,,,,,,,,,,,,,http://www.xidian.edu.cn
Lockheed Martin,Lockheed Martin Corporation,Public,"NYSE: LMT, S&P 100 Component, S&P 500 Component",US5398301094,"['Advanced Technologies', ' Information Security', ' Aerospace', ' Defense']","Lockheed Corporation, Martin Marietta","Bethesda, Maryland, United States",Worldwide,"['Marillyn Hewson', ' (Chairman', ' President', ' & CEO)', ' Kenneth R. Possenriede', ' (Executive Vice President & CFO)']","ATC Systems, Ballistic Missiles, Precision-guided munitions, Missile Defense Elements, Directed-energy weapons, Combat Systems, Littoral combat ships, Armored fighting vehicles, Combat aircraft, Military Support Aircraft, Robotic Systems, Radar Technologies, Electronic Warfare Systems, Multi-Function Sensor Systems, Satellites, Atlas V Launch Vehicles, Spacecraft, ICT Solutions and Software, Energy Management and Storage Systems",US$ 53.76 billion (2018),US$7.33 billion (2018),US$5.04 billion (2018),US$44.87 billion (2018),US$1.39 billion (2018),"105,000 (2018)",Lockheed Corporation,"['Hellfire Systems', ' L.L.C.', ' Lockheed Martin Aerospace Systems Integration Corporation', ' Lockheed Martin Australia Pty Limited', ' Lockheed Martin Canada Inc.', ' Lockheed Martin Desktop Solutions', ' Inc.', ' Lockheed Martin Engine Investments', ' LLC', ' Lockheed Martin Global', ' Inc.', ' Lockheed Martin Integrated Systems', ' Inc.', ' Lockheed Martin Integrated Technology', ' LLC', ' Lockheed Martin International Service Corporation', ' Lockheed Martin Investments Inc.', ' Lockheed Martin Logistics Management', ' Inc.', ' Lockheed Martin Millimeter Technologies', ' Inc.', ' Lockheed Martin Operations Support', ' Inc.', ' Lockheed Martin Services', ' Inc.', ' Lockheed Martin Space Alliance Company', ' Lockheed Martin UK Ampthill Limited', ' Lockheed Martin UK Limited', ' Lockheed Martin BTS Limited', ' QTC Holdings Inc.', ' Sikorsky Aircraft Corporation']",LockheedMartin.com
University of Guelph,University of Guelph,public university,,,,,,,,,,,,,,,,,www.uoguelph.ca
Janssen Biotech,"Janssen Biotech, Inc.",Subsidiary,,,"['Pharmaceuticals', ' Health care']",,"Horsham, Pennsylvania, U.S.",,['Michael Yang (Immunology President)'],"golimumab IV (Simponi Aria), infliximab (Remicade), golimumab (Simponi), ustekinumab (Stelara)",,,,,,,Johnson & Johnson,,www.janssenbiotech.com
